Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-1018.362	-1204.803	186.4413	1.508654	4.042102	0.3747303	0.8183384
6	-1021.925	-1208.366	186.4413	1.508654	4.042102	0.3747303	0.8183384
12	-1021.026	-1207.467	186.4413	1.508654	4.042102	0.3747303	0.8183384
18	-1020.077	-1206.518	186.4413	1.508654	4.042102	0.3747303	0.8183384
24	-1028.33	-1214.771	186.4413	1.508654	4.042102	0.3747303	0.8183384
30	-1032.476	-1218.475	185.9993	1.508654	4.042102	0.4478782	1.132508
36	-1042.341	-1228.294	185.9534	1.521673	3.555636	0.6036978	1.090787
42	-1034.661	-1220.464	185.8021	1.283665	3.697818	0.5647285	1.420419
48	-1039.619	-1225.367	185.7476	1.209341	2.839536	0.9723418	1.395573
54	-1041.893	-1227.153	185.2601	1.324096	3.100384	0.7530859	1.766767
60	-1035.412	-1220.841	185.4296	1.205954	3.766605	0.8160026	1.491508
66	-1042.917	-1229.2	186.2825	1.071597	2.628927	0.8594193	1.250759
72	-1034.271	-1220.221	185.95	1.165124	3.080407	0.7082324	1.426949
78	-1036.504	-1222.304	185.8	1.165124	3.112993	0.7082324	1.530061
84	-1036.465	-1222.569	186.1045	1.253566	1.957137	1.119512	1.32312
90	-1036.032	-1222.028	185.9959	1.204918	2.472597	0.8386843	1.451337
96	-1033.411	-1219.897	186.4859	1.395705	1.882472	0.988469	1.013911
102	-1030.065	-1216.311	186.2462	1.177449	2.03564	1.147998	1.209339
108	-1026.79	-1212.943	186.1531	1.117214	2.618494	0.7215448	1.451923
114	-1028.364	-1213.983	185.6197	1.118739	3.058135	0.771469	1.654321
120	-1019.071	-1205.516	186.4446	1.222204	2.358034	0.5888412	1.38522
126	-1014.782	-1200.716	185.9332	1.328389	2.200813	0.9046006	1.456824
132	-1021.528	-1206.493	184.9647	1.206978	2.200813	0.8734215	2.232201
138	-1027.86	-1213.563	185.7031	1.305642	3.016785	0.8734215	1.377167
144	-1025.384	-1211.439	186.0549	1.303589	3.017875	0.6143288	1.356884
150	-1023.012	-1208.805	185.7931	1.415677	3.017875	0.6676047	1.416212
156	-1025.011	-1210.892	185.881	1.420437	3.300813	0.9118313	0.9838597
162	-1023.271	-1209.372	186.1005	1.395449	3.099606	0.5508804	1.294755
168	-1020.97	-1206.947	185.9767	1.265514	2.746914	0.6332089	1.516887
174	-1019.862	-1205.652	185.7901	1.192175	2.172551	0.6580926	1.880691
180	-1023.88	-1209.889	186.0093	1.337102	2.411626	0.7567729	1.43746
186	-1032.711	-1218.582	185.8712	1.214428	1.611285	0.7459763	1.967213
192	-1020.108	-1205.479	185.3714	1.142221	1.631285	1.411302	1.910956
198	-1034.806	-1219.376	184.5707	0.8041421	2.231142	0.9057536	2.699867
204	-1029.032	-1214.753	185.7209	1.04665	2.231142	0.7093873	1.95838
210	-1035.238	-1220.261	185.023	0.9847055	2.128413	0.6710307	2.517209
216	-1035.483	-1220.049	184.5656	0.8215262	2.360161	0.8224188	2.707716
222	-1039.657	-1224.238	184.581	0.974765	2.598908	0.8566081	2.506125
228	-1030.375	-1215.517	185.1422	0.9713981	3.488512	0.6135861	2.105844
234	-1025.849	-1211.504	185.6552	1.149218	2.499618	0.7905868	1.77013
240	-1033.788	-1219.946	186.158	1.215145	2.621657	0.5735628	1.527076
246	-1023.371	-1209.295	185.9246	1.129532	2.052751	1.285713	1.404605
252	-1031.792	-1218.265	186.473	1.19654	2.053302	0.917547	1.18311
258	-1028.39	-1214.482	186.0928	1.470681	2.181669	0.997328	1.140563
264	-1040.919	-1226.875	185.9559	1.263446	2.376585	0.7818101	1.523897
270	-1038.528	-1224.754	186.2252	1.470681	2.010321	0.5723272	1.52691
276	-1039.048	-1224.835	185.7872	1.489456	2.615826	1.312491	0.9289784
282	-1049.407	-1234.66	185.2532	0.9434651	2.219621	1.449934	1.863387
288	-1041.498	-1227.774	186.2759	0.9594371	1.833736	0.9216008	1.621616
294	-1041.67	-1227.898	186.2281	1.167611	2.574679	0.8526578	1.243921
300	-1036.719	-1223.184	186.4651	1.714128	2.515993	0.6882707	0.6103753
306	-1030.318	-1216.673	186.3543	1.714128	2.399283	0.6882707	0.8748137
312	-1048.723	-1233.771	185.0477	1.100203	4.360528	0.7225873	1.782353
318	-1046.875	-1233.244	186.3691	1.046826	2.322872	0.8933927	1.293983
324	-1040.346	-1227.233	186.8869	1.71853	1.943944	0.4267283	1.002138
330	-1026.985	-1213.093	186.1079	1.586967	2.775635	0.8255983	0.9025257
336	-1042.1	-1228.311	186.2115	1.640975	3.129709	0.6713044	0.7522704
342	-1043.55	-1229.549	185.9992	1.205131	2.208567	0.8478594	1.543632
348	-1039.489	-1226.056	186.567	1.347907	1.891735	0.6019041	1.380742
354	-1040.826	-1227.283	186.4569	1.452535	2.447883	0.6424643	1.076965
360	-1025.466	-1211.387	185.921	1.452535	2.390229	1.208447	1.032418
366	-1025.808	-1212.172	186.3642	1.441304	2.865348	0.6805169	0.9340582
372	-1036.146	-1222.553	186.4074	1.450557	2.255013	0.9128581	0.8973109
378	-1032.047	-1217.895	185.8478	1.384537	2.81553	0.8564017	1.283361
384	-1036.508	-1222.256	185.7479	1.483328	3.16348	0.4987613	1.543577
390	-1030.922	-1217.05	186.1277	1.401777	3.16348	0.4987613	1.313872
396	-1034.621	-1221.218	186.5972	1.396341	2.150737	0.5074937	1.313872
402	-1038.525	-1225.203	186.6781	1.663605	1.869009	0.5913384	1.040635
408	-1037.592	-1223.787	186.195	1.715562	2.629247	0.7896849	0.7704925
414	-1033.253	-1220.051	186.7977	1.672683	1.987443	0.6186967	0.7704925
420	-1031.133	-1217.286	186.1528	1.028756	2.239018	0.7830787	1.603514
426	-1033.114	-1218.575	185.4616	1.020065	2.59554	0.5429759	2.180535
432	-1032.767	-1219.535	186.7675	1.729901	1.837937	0.7018244	0.6928077
438	-1042.413	-1229.376	186.9626	1.806387	1.645428	0.6322008	0.5648008
444	-1030.838	-1216.484	185.6454	1.176596	2.649567	0.7651653	1.728887
450	-1034.435	-1219.906	185.4711	0.8815778	3.064029	0.811541	1.888239
456	-1040.394	-1226.385	185.9909	1.024181	1.773617	0.811541	1.888239
462	-1035.013	-1220.588	185.5751	1.024181	2.156559	0.9560019	1.907886
468	-1030.658	-1216.469	185.8109	1.150057	2.297929	0.5969305	1.907886
474	-1035.112	-1220.979	185.867	1.195149	2.337278	0.6203466	1.801501
480	-1034.502	-1220.406	185.9036	1.23235	3.075935	0.8405532	1.284934
486	-1045.064	-1231.026	185.9623	1.364136	3.063467	0.6750128	1.300015
492	-1049.33	-1235.52	186.1904	1.372629	2.232717	0.3936992	1.752017
498	-1054.401	-1240.409	186.0081	1.472238	2.926922	0.5447335	1.373366
504	-1035.149	-1221.055	185.9064	1.454214	2.393929	0.6932064	1.494709
510	-1034.214	-1220.622	186.4082	1.56012	2.393929	0.7347412	0.9233952
516	-1025.218	-1211.332	186.1142	1.690598	3.092635	0.7347412	0.7220679
522	-1019.83	-1205.928	186.0974	1.682839	2.718273	0.9109163	0.6944683
528	-1023.723	-1209.721	185.9985	1.836205	3.125773	0.7605993	0.52279
534	-1022.529	-1208.149	185.6196	1.675249	3.995524	0.9220887	0.6417797
540	-1010.831	-1197.203	186.3724	1.668999	2.944462	0.5943896	0.747293
546	-1012.707	-1199.125	186.4179	1.659103	2.74246	0.6202132	0.7718355
552	-1015.436	-1201.891	186.4557	1.633045	2.735797	0.5989233	0.8019447
558	-1020.169	-1206.649	186.4801	1.633045	2.342516	0.6810487	0.8677152
564	-1022.161	-1208.088	185.9273	1.434193	3.531927	0.6164171	1.183754
570	-1024.515	-1210.769	186.2542	1.300658	2.337386	1.099967	0.97594
576	-1023.083	-1209.259	186.1765	1.391335	2.756144	0.6911404	1.192384
